"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"IN001080500","BEGUMPET OBSERVATORY, IN","17.45","78.47","527.0","2021-01-01",,,"70","H,,S","80",",,S",,
"IN001080500","BEGUMPET OBSERVATORY, IN","17.45","78.47","527.0","2021-01-02",,,"71","H,,S",,,"62",",,S"
"IN001080500","BEGUMPET OBSERVATORY, IN","17.45","78.47","527.0","2021-01-03",,,"72","H,,S","82",",,S","62",",,S"
"IN001080500","BEGUMPET OBSERVATORY, IN","17.45","78.47","527.0","2021-01-04",,,"72","H,,S",,,"64",",,S"
"IN001080500","BEGUMPET OBSERVATORY, IN","17.45","78.47","527.0","2021-01-05",,,"76","H,,S",,,"66",",,S"
"IN001080500","BEGUMPET OBSERVATORY, IN","17.45","78.47","527.0","2021-01-06",,,"73","H,,S","86",",,S",,
"IN001080500","BEGUMPET OBSERVATORY, IN","17.45","78.47","527.0","2021-01-07","0.08",",,S","74","H,,S",,,"67",",,S"
"IN001080500","BEGUMPET OBSERVATORY, IN","17.45","78.47","527.0","2021-01-08","0.01",",,S","76","H,,S","86",",,S",,
"IN001080500","BEGUMPET OBSERVATORY, IN","17.45","78.47","527.0","2021-01-09","0.00",",,S","76","H,,S","86",",,S",,
"IN001080500","BEGUMPET OBSERVATORY, IN","17.45","78.47","527.0","2021-01-10",,,"77","H,,S",,,,
"IN001080500","BEGUMPET OBSERVATORY, IN","17.45","78.47","527.0","2021-01-11",,,"75","H,,S","86",",,S",,
"IN001080500","BEGUMPET OBSERVATORY, IN","17.45","78.47","527.0","2021-01-12",,,"76","H,,S","87",",,S","63",",,S"
"IN001080500","BEGUMPET OBSERVATORY, IN","17.45","78.47","527.0","2021-01-13",,,"77","H,,S","89",",,S","64",",,S"
"IN001080500","BEGUMPET OBSERVATORY, IN","17.45","78.47","527.0","2021-01-14",,,"76","H,,S","88",",,S","63",",,S"
"IN001080500","BEGUMPET OBSERVATORY, IN","17.45","78.47","527.0","2021-01-15",,,"76","H,,S","88",",,S",,
"IN001080500","BEGUMPET OBSERVATORY, IN","17.45","78.47","527.0","2021-01-16",,,"75","H,,S","85",",,S","64",",,S"
"IN001080500","BEGUMPET OBSERVATORY, IN","17.45","78.47","527.0","2021-01-17",,,"76","H,,S","86",",,S",,
"IN001080500","BEGUMPET OBSERVATORY, IN","17.45","78.47","527.0","2021-01-18",,,"75","H,,S","85",",,S",,
"IN001080500","BEGUMPET OBSERVATORY, IN","17.45","78.47","527.0","2021-01-19",,,"75","H,,S",,,"63",",,S"
"IN001080500","BEGUMPET OBSERVATORY, IN","17.45","78.47","527.0","2021-01-20",,,"75","H,,S",,,,
"IN001080500","BEGUMPET OBSERVATORY, IN","17.45","78.47","527.0","2021-01-21",,,"76","H,,S","91",",,S",,
"IN001080500","BEGUMPET OBSERVATORY, IN","17.45","78.47","527.0","2021-01-22",,,"76","H,,S","91",",,S",,
"IN001080500","BEGUMPET OBSERVATORY, IN","17.45","78.47","527.0","2021-01-23",,,"76","H,,S","90",",,S",,
"IN001080500","BEGUMPET OBSERVATORY, IN","17.45","78.47","527.0","2021-01-24",,,"78","H,,S","89",",,S",,
"IN001080500","BEGUMPET OBSERVATORY, IN","17.45","78.47","527.0","2021-01-25",,,"78","H,,S","91",",,S",,
"IN001080500","BEGUMPET OBSERVATORY, IN","17.45","78.47","527.0","2021-01-26",,,"78","H,,S","92",",,S",,
"IN001080500","BEGUMPET OBSERVATORY, IN","17.45","78.47","527.0","2021-01-27",,,"76","H,,S","92",",,S",,
"IN001080500","BEGUMPET OBSERVATORY, IN","17.45","78.47","527.0","2021-01-28",,,"76","H,,S","89",",,S",,
"IN001080500","BEGUMPET OBSERVATORY, IN","17.45","78.47","527.0","2021-01-29",,,"77","H,,S",,,,
"IN001080500","BEGUMPET OBSERVATORY, IN","17.45","78.47","527.0","2021-01-30",,,"76","H,,S","89",",,S",,
"IN001080500","BEGUMPET OBSERVATORY, IN","17.45","78.47","527.0","2021-01-31",,,"74","H,,S","89",",,S",,
"IN001080500","BEGUMPET OBSERVATORY, IN","17.45","78.47","527.0","2021-02-01",,,"73","H,,S","85",",,S",,
"IN001080500","BEGUMPET OBSERVATORY, IN","17.45","78.47","527.0","2021-02-02",,,"72","H,,S","85",",,S",,
"IN001080500","BEGUMPET OBSERVATORY, IN","17.45","78.47","527.0","2021-02-03",,,"73","H,,S","85",",,S",,
"IN001080500","BEGUMPET OBSERVATORY, IN","17.45","78.47","527.0","2021-02-04",,,"73","H,,S","86",",,S","57",",,S"
"IN001080500","BEGUMPET OBSERVATORY, IN","17.45","78.47","527.0","2021-02-05",,,"72","H,,S",,,,
"IN001080500","BEGUMPET OBSERVATORY, IN","17.45","78.47","527.0","2021-02-06",,,"74","H,,S","88",",,S",,
"IN001080500","BEGUMPET OBSERVATORY, IN","17.45","78.47","527.0","2021-02-07",,,"72","H,,S","88",",,S",,
"IN001080500","BEGUMPET OBSERVATORY, IN","17.45","78.47","527.0","2021-02-08",,,"72","H,,S","86",",,S",,
"IN001080500","BEGUMPET OBSERVATORY, IN","17.45","78.47","527.0","2021-02-09",,,"74","H,,S","86",",,S","58",",,S"
"IN001080500","BEGUMPET OBSERVATORY, IN","17.45","78.47","527.0","2021-02-10",,,"75","H,,S","89",",,S",,
"IN001080500","BEGUMPET OBSERVATORY, IN","17.45","78.47","527.0","2021-02-13",,,"76","H,,S",,,,
"IN001080500","BEGUMPET OBSERVATORY, IN","17.45","78.47","527.0","2021-02-14",,,"76","H,,S",,,,
"IN001080500","BEGUMPET OBSERVATORY, IN","17.45","78.47","527.0","2021-02-15",,,"79","H,,S",,,"67",",,S"
"IN001080500","BEGUMPET OBSERVATORY, IN","17.45","78.47","527.0","2021-02-16",,,"79","H,,S","92",",,S",,
"IN001080500","BEGUMPET OBSERVATORY, IN","17.45","78.47","527.0","2021-02-17",,,"76","H,,S","92",",,S",,
"IN001080500","BEGUMPET OBSERVATORY, IN","17.45","78.47","527.0","2021-02-18",,,"74","H,,S","90",",,S",,
"IN001080500","BEGUMPET OBSERVATORY, IN","17.45","78.47","527.0","2021-02-19","0.04",",,S","71","H,,S","85",",,S","65",",,S"
"IN001080500","BEGUMPET OBSERVATORY, IN","17.45","78.47","527.0","2021-02-21",,,"74","H,,S","82",",,S","66",",,S"
"IN001080500","BEGUMPET OBSERVATORY, IN","17.45","78.47","527.0","2021-02-22",,,"76","H,,S",,,,
"IN001080500","BEGUMPET OBSERVATORY, IN","17.45","78.47","527.0","2021-02-23",,,"77","H,,S",,,,
"IN001080500","BEGUMPET OBSERVATORY, IN","17.45","78.47","527.0","2021-02-24",,,"78","H,,S",,,,
"IN001080500","BEGUMPET OBSERVATORY, IN","17.45","78.47","527.0","2021-02-25",,,"80","H,,S","93",",,S",,
"IN001080500","BEGUMPET OBSERVATORY, IN","17.45","78.47","527.0","2021-02-26",,,"81","H,,S",,,,
"IN001080500","BEGUMPET OBSERVATORY, IN","17.45","78.47","527.0","2021-02-27",,,"82","H,,S","97",",,S",,
"IN001080500","BEGUMPET OBSERVATORY, IN","17.45","78.47","527.0","2021-02-28",,,"82","H,,S","96",",,S",,
"IN001080500","BEGUMPET OBSERVATORY, IN","17.45","78.47","527.0","2021-03-01",,,"83","H,,S","98",",,S",,
"IN001080500","BEGUMPET OBSERVATORY, IN","17.45","78.47","527.0","2021-03-02",,,"83","H,,S","98",",,S",,
"IN001080500","BEGUMPET OBSERVATORY, IN","17.45","78.47","527.0","2021-03-03",,,"82","H,,S","97",",,S","68",",,S"
"IN001080500","BEGUMPET OBSERVATORY, IN","17.45","78.47","527.0","2021-03-04",,,"82","H,,S","97",",,S",,
"IN001080500","BEGUMPET OBSERVATORY, IN","17.45","78.47","527.0","2021-03-05",,,"83","H,,S",,,"63",",,S"
"IN001080500","BEGUMPET OBSERVATORY, IN","17.45","78.47","527.0","2021-03-06",,,"83","H,,S",,,,
"IN001080500","BEGUMPET OBSERVATORY, IN","17.45","78.47","527.0","2021-03-07",,,"84","H,,S","99",",,S",,
"IN001080500","BEGUMPET OBSERVATORY, IN","17.45","78.47","527.0","2021-03-08",,,"83","H,,S","98",",,S",,
"IN001080500","BEGUMPET OBSERVATORY, IN","17.45","78.47","527.0","2021-03-09",,,"82","H,,S","96",",,S",,
"IN001080500","BEGUMPET OBSERVATORY, IN","17.45","78.47","527.0","2021-03-10",,,"82","H,,S","96",",,S",,
"IN001080500","BEGUMPET OBSERVATORY, IN","17.45","78.47","527.0","2021-03-11",,,"83","H,,S",,,,
"IN001080500","BEGUMPET OBSERVATORY, IN","17.45","78.47","527.0","2021-03-12",,,"83","H,,S","98",",,S",,
"IN001080500","BEGUMPET OBSERVATORY, IN","17.45","78.47","527.0","2021-03-13",,,"78","H,,S","96",",,S",,
"IN001080500","BEGUMPET OBSERVATORY, IN","17.45","78.47","527.0","2021-03-14",,,"82","H,,S",,,,
"IN001080500","BEGUMPET OBSERVATORY, IN","17.45","78.47","527.0","2021-03-15",,,"83","H,,S","96",",,S",,
"IN001080500","BEGUMPET OBSERVATORY, IN","17.45","78.47","527.0","2021-03-16",,,"84","H,,S",,,,
"IN001080500","BEGUMPET OBSERVATORY, IN","17.45","78.47","527.0","2021-03-17",,,"85","H,,S","98",",,S",,
"IN001080500","BEGUMPET OBSERVATORY, IN","17.45","78.47","527.0","2021-03-18",,,"85","H,,S","98",",,S",,
"IN001080500","BEGUMPET OBSERVATORY, IN","17.45","78.47","527.0","2021-03-19",,,"82","H,,S","97",",,S",,
"IN001080500","BEGUMPET OBSERVATORY, IN","17.45","78.47","527.0","2021-03-20",,,"82","H,,S","94",",,S","70",",,S"
"IN001080500","BEGUMPET OBSERVATORY, IN","17.45","78.47","527.0","2021-03-21",,,"82","H,,S","94",",,S",,
"IN001080500","BEGUMPET OBSERVATORY, IN","17.45","78.47","527.0","2021-03-22",,,"84","H,,S",,,,
"IN001080500","BEGUMPET OBSERVATORY, IN","17.45","78.47","527.0","2021-03-23",,,"84","H,,S","96",",,S",,
